id,control1,control2,control3,pro,year,year_2014,1984年末邮电业务总量（万元）,1984年每百人固定电话数,1984年末邮电局数（处）,1984年末电话机数（部）,1984年每百万人邮局数,RLDS,DIF,DT,DID,UCI,ULGUE,GOV,INF,Popd,Trade,GPatent,ERS,GOV2,INF2,Popd2,Trade2,GPatent2,ERS2
1,0,0,1,2,2011,0,17939,4.079233585,472,385561,49.93757803,0.655252,0.3891537,0.1697856,0.135986,1.2141432,0.097430278,0.199682524,5.26,6.657625863,1.556977774,3399,70.91,0.04,27.67,44.32,2.42,11553201,5028.23
1,0,0,1,2,2012,0,17939,4.079233585,472,385561,49.93757803,0.655252,0.4250773,0.2585509,0.1459851,1.1898951,0.102820266,0.206120317,7.57,6.672792151,1.441052541,3774,78.96,0.04,57.3,44.53,2.08,14243076,6234.68
1,0,0,1,2,2013,0,17939,4.079233585,472,385561,49.93757803,0.655252,0.4731197,0.3758221,0.1653943,1.1771619,0.11092604,0.21402751,7.61,6.687245756,1.36873157,6310,86.58,0.05,57.91,44.72,1.87,39816100,7496.1
1,0,0,1,2,2014,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.3869328,0.4375165,0.1872815,1.1711533,0.130713791,0.21211875,7.44,6.700115914,1.196293703,7759,87.67,0.04,55.35,44.89,1.43,60202081,7686.03
1,0,0,1,2,2015,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.4040252,0.4919043,0.2288556,1.1496745,0.149534974,0.249307118,7.62,6.708779812,0.861525367,9858,83.33,0.06,58.06,45.01,0.74,97180164,6943.89
1,0,0,1,2,2016,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.4136633,0.5410616,0.2902823,1.1697818,0.168518986,0.24958671,7.62,6.717369292,0.726638086,10676,78.67,0.06,58.06,45.12,0.53,113976976,6188.97
1,0,0,1,2,2017,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.4360099,0.5828532,0.2514262,1.1511312,0.177838979,0.243423459,7.44,6.72588562,0.78257887,10308,74.01,0.06,55.35,45.24,0.61,106254864,5477.48
1,0,0,1,2,2018,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.4466915,0.6437113,0.2350888,1.1764006,0.171782175,0.246290542,7.56574,6.734330032,0.896520265,11615,68.93,0.06,57.24,45.35,0.8,134908225,4751.34
1,0,0,1,2,2019,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.4932997,0.7021151,0.2409851,1.1804236,0.274917571,0.209444186,7.67721,6.742703733,0.81036725,11474,63.93,0.04,58.94,45.46,0.66,131652676,4087.04
1,0,0,1,2,2020,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.4726108,0.8025447,0.2194968,1.1735643,0.353322429,0.197107614,7.67088,6.751007897,0.643046284,12532,59.6,0.04,58.84,45.58,0.41,157051024,3552.16
1,0,0,1,2,2021,1,17939,4.079233585,472,385561,49.93757803,0.655252,0.4672066,0.9247817,0.2039407,1.1813278,1.012467539,0.178920291,7.72422,6.75924367,0.755857119,18238,56.15,0.03,59.66,45.69,0.57,332624644,3152.82
2,0,0,1,26,2011,0,4478,1.555320507,249,124253,31.16824594,0.024738,0.1282258,0.0812158,0.0371617,1.2441697,0.08402249,0.1588652,17.05,6.742066625,0.590577259,867,99.65,0.03,290.7,45.46,0.35,751689,9930.12
2,0,0,1,26,2012,0,4478,1.555320507,249,124253,31.16824594,0.024738,0.1328608,0.1316878,0.0405449,1.2051853,0.086483942,0.166219361,17.88,6.738815782,0.566059392,1079,99.62,0.03,319.69,45.41,0.32,1164241,9924.14
2,0,0,1,26,2013,0,4478,1.555320507,249,124253,31.16824594,0.024738,0.1304116,0.1782397,0.0429976,1.2017442,0.083077547,0.177395805,18.74,6.736338053,0.00973415,1676,99.39,0.03,351.19,45.38,0,2808976,9878.37
2,0,0,1,26,2014,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1377715,0.1950479,0.024956,1.2367128,0.091447589,0.183424184,16.71,6.748900218,0.019280235,1872,98.91,0.03,279.22,45.55,0,3504384,9783.19
2,0,0,1,26,2015,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1374685,0.2458329,0.0643799,1.2399246,0.069633013,0.195447628,16.02,6.759011621,0.021917895,2691,98.58,0.04,256.64,45.68,0,7241481,9718.02
2,0,0,1,26,2016,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1051265,0.2799059,0.0889034,1.2309552,0.080108616,0.206840891,15.39,6.769021808,0.018645992,3401,98.99,0.04,236.85,45.82,0,11566801,9799.02
2,0,0,1,26,2017,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1039315,0.3086986,0.0820291,1.2199448,0.097577005,0.176874543,17.41,6.778932782,0.021028991,3607,98.87,0.03,303.11,45.95,0,13010449,9775.28
2,0,0,1,26,2018,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1671158,0.3375855,0.0694119,1.2366988,0.11828722,0.165049969,11.66799,6.788746492,0.025807906,4737,98.9,0.03,136.14,46.09,0,22439169,9781.21
2,0,0,1,26,2019,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1628374,0.360696,0.0719766,1.205188,0.098305208,0.248774305,12.97533,6.798464829,0.026679162,4505,98.9,0.06,168.36,46.22,0,20295025,9781.21
2,0,0,1,26,2020,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1615361,0.4089872,0.0742665,1.2337799,0.1085112,0.223753941,14.90957,6.808089628,0.052747229,5491,98.9,0.05,222.3,46.35,0,30151081,9781.21
2,0,0,1,26,2021,1,4478,1.555320507,249,124253,31.16824594,0.024738,0.1725052,0.4513832,0.0766333,1.2590149,0.121393411,0.200863192,15.44495,6.817622672,0.058306244,7430,98.9,0.04,238.55,46.48,0,55204900,9781.21
3,0,0,1,9,2011,0,1271,0.883424514,51,15179,29.68222558,0.390482,0.380298,0.0469951,0.0209039,1.4087553,0.143821893,0.098841392,16.95,6.444576309,0.224145845,159,55.34,0.01,287.3,41.53,0.05,25281,3062.52
3,0,0,1,9,2012,0,1271,0.883424514,51,15179,29.68222558,0.390482,0.47499,0.0880015,0.023706,1.400653,0.136545129,0.103127014,17.07,6.452616617,0.181641631,211,49.47,0.01,291.38,41.64,0.03,44521,2447.28
3,0,0,1,9,2013,0,1271,0.883424514,51,15179,29.68222558,0.390482,0.5552003,0.1326728,0.030929,1.3957595,0.142021743,0.107520752,18.15,6.450438826,0.178254652,280,98.61,0.01,329.42,41.61,0.03,78400,9723.93
3,0,0,1,9,2014,1,1271,0.883424514,51,15179,29.68222558,0.390482,0.4041979,0.1432691,0.030544,1.4231438,0.139780388,0.109566486,18.57,6.661662906,0.169929525,337,95.1,0.01,344.84,44.38,0.03,113569,9044.01
3,0,0,1,9,2015,1,1271,0.883424514,51,15179,29.68222558,0.390482,0.4773449,0.1763368,0.0339067,1.3584279,0.133683686,0.125424742,19.02,6.669675739,0.138968656,427,98,0.02,361.76,44.48,0.02,182329,9604
